item_id,category,search_status,found_answer,source_url,source_type,confidence,notes
591,FREE,GOLD,"2cos(1), 2sin(1), 2sin(2), 2cos(2)",computed,sum formula,high,2cos(6x+1)=2cos1*cos6x-2sin1*sin6x; 2sin(5x+2)=2sin2*cos5x+2cos2*sin5x
627,FREE,UNSEARCHED,,,,,
710,FREE,UNSEARCHED,,,,,
340,FREE,UNSEARCHED,,,,,
413,FREE,UNSEARCHED,,,,,
8,FREE,GOLD,420,computed,mixture,high,
154,FREE,UNSEARCHED,,,,,
155,FREE,GOLD,12.17,computed,trig,high,14/tan(49°)≈12.17 ft
234,FREE,GOLD,29x^7+6x^5,trivial,poly,high,
759,FREE,UNSEARCHED,,,,,
884,FREE,GOLD,(x-59)^2+74,trivial,transform,high,
938,FREE,GOLD,$49.88,trivial,tip,high,
25,FREE,UNSEARCHED,,,,,
37,FREE,UNSEARCHED,,,,,
803,FREE,UNSEARCHED,,,,,
345,FREE,GOLD,"-5/6, 5/6",trivial,abs eq,high,
497,FREE,PARTIAL,"tan(48°)≈1.1106, arctan(48)≈88.81°",computed,trig eval,medium,"Numerical answers, need calculator precision"
63,FREE,UNSEARCHED,,,,,
623,FREE,UNSEARCHED,,,,,
713,FREE,GOLD,"-3, DNE",computed,roots,high,-5th root 243=-3; 4th root -81 DNE
763,FREE,GOLD,"13, 8/3",trivial,arith,high,
24,FREE,GOLD,1,computed,regression,high,Residuals: (2-1)²+0²+0²=1
57,FREE,GOLD,4,computed,geometry,high,(19-2w)(18-2w)=110→w=4
127,FREE,GOLD,5*ln(17/2),computed,exponential,high,85(1-e^-0.2t)=75→t=5ln(17/2)≈10.70
135,FREE,GOLD,3/5,trivial,algebra,high,
171,FREE,GOLD,20,computed,area,high,
207,FREE,GOLD,14/5,computed,perp lines,high,
327,FREE,GOLD,7.6,computed,unit conv,high,
379,FREE,GOLD,$480,computed,break-even,high,
387,FREE,GOLD,-230,computed,bank account,high,-400-40+930-720=-230
478,FREE,GOLD,-3/10,computed,zeros,high,(10x+3)/5=0→x=-3/10
529,FREE,GOLD,429/20,computed,work rate,high,
537,FREE,GOLD,42,computed,proportion,high,
557,FREE,GOLD,5,trivial,abs,high,|5|=5
605,FREE,GOLD,45.6,trivial,unit conv,high,
915,FREE,GOLD,-2,trivial,slope,high,
936,FREE,GOLD,275/16,trivial,rem thm,high,
479,FREE,UNSEARCHED,,,,,
842,FREE,UNSEARCHED,,,,,
723,FREE,UNSEARCHED,,,,,
409,FREE,UNSEARCHED,,,,,
814,FREE,UNSEARCHED,,,,,
172,FREE,GOLD,1320/3721,computed,trig identity,high,sin(2cos⁻¹(11/61))=2*(60/61)*(11/61)=1320/3721
412,FREE,UNSEARCHED,,,,,
642,FREE,GOLD,"amp=6, period=pi/3, max=13",computed,trig fn,high,
795,FREE,UNSEARCHED,,,,,
6,FREE,UNSEARCHED,,,,,
36,FREE,GOLD,40x^{10}y^9,trivial,monomial,high,
75,FREE,GOLD,x > 21250,computed,inequality,high,Plan B>A: 250+0.15x>1100+0.11x→x>21250
81,FREE,UNSEARCHED,,,,,
111,FREE,UNSEARCHED,,,,,
215,FREE,UNSEARCHED,,,,,
228,FREE,GOLD,v^7,trivial,exp,high,
259,FREE,UNSEARCHED,,,,,
264,FREE,GOLD,256*pi*t^2,computed,related rates,high,S=4π(8t)²=256πt²
